geneSymbol	BJ	GM12878	HeLaS3	HepG2	IMR90	K562	MCF7	SKNSH	average
CPSF7	66.3477301964702	73.7041898734598	69.185756527639	76.759639928405	70.7005055735931	75.0925520529471	73.8612576914752	68.646738991009	71.7872963543748
FADS2	65.1531067362462	73.7895099847521	67.7691181599103	75.6637668769827	69.3248701640465	74.6033718456982	72.8202054419265	68.0318890837233	70.8944797866607
FADS1	65.5532502509836	73.7387991354324	68.2886165797166	76.0376022039689	69.7695925321592	74.7639349699683	73.1896739137406	68.2685699942034	71.2012549475216
SLC3A2	68.1727569447313	73.6338440045987	71.657318545142	78.6583468291485	73.0869311152535	75.4833398735343	75.4247937704753	69.3078974673372	73.1781535687776
TBC1D10C	71.5068973026973	75.1939001217532	74.2452781811938	79.6151620941559	77.2256732267732	73.7064382523726	76.2457993131869	69.9432561813187	74.7103005841815
NADSYN1	58.5150385852243	67.3650459683174	59.8510346891204	72.3885355929784	61.0725650920508	62.3988941487084	70.9461018981019	63.4294245992103	64.495830071714
FOLR1	62.7827216672217	70.6967488511489	64.6631521367521	74.1996616050616	65.9450340659341	65.2242767565767	71.8638014652015	64.9108375180376	67.5357792582418
PDE2A	69.9808901514216	76.215704038658	72.4124852899909	77.5747453524004	74.3923415505843	70.0339446115682	73.4427237975508	67.159870364467	72.6515881445801
SYTL2	66.4745065461712	64.885063330691	59.5605061291969	63.3013408982322	73.0371913396386	66.9645951874212	68.6151788298658	45.4621824496156	63.5375705888541
PICALM	67.2776641118572	63.9466191932099	61.7137088701996	65.2860245506432	73.5501062944807	66.7984575873738	69.1016357975358	45.5401705031403	64.151798363555
C11orf93	65.1485036872219	72.2985612296794	55.109848951049	68.065126128417	69.1613801471256	53.5965325492689	53.7242766506221	54.1532368903824	61.4071832792208
NCAM1	41.4898546826308	54.429576558367	52.3635811964155	47.2411826355734	37.516269927386	52.2659759249706	37.8937403104358	62.9441102840443	48.2680364399779
CADM1	40.8709374001117	57.9511932767515	30.7072696789167	63.9367439565147	47.2288641697605	45.7554670657335	45.6960794682226	63.854091520826	49.5000808171047
HSPA8	61.3315667664168	61.7788718062718	65.0915595589095	38.6855978068478	61.6463141604642	39.0693967766467	41.3381213186213	62.6157432682933	53.9446464328089
APLP2	65.5947766352852	50.8774798777382	50.0052605970189	56.6117198199152	67.6745381935945	44.1282905478627	54.6733620134832	43.4795034157895	54.1306163875859
ZBTB44	63.4211112413322	50.6411917982753	52.0251536658195	59.6267025430452	63.7301458563495	44.8266608182259	58.4093356746195	45.4727586520098	54.7691325312096
DYRK4	39.826259919788	60.7227931398147	29.4794201807933	47.9643212075262	42.3503753966813	47.7580166750457	42.5533240001881	43.3530306738716	44.2509426492136
GAPDH	72.0180922857018	74.2179538549501	73.1654174385363	77.5694762696424	80.3292021280606	73.8985705809914	75.756627943126	67.5496185393223	74.3131198800414
COPS7A	70.5592402115127	73.1739028910745	71.5647997674739	77.3399427236557	78.1879496744635	73.4299464974681	73.897664674119	66.6980049683075	73.1064314260094
PTPN6	64.8613020716126	69.0960817656029	65.3131580577317	76.4434378831695	69.8247137862138	71.5996094221568	66.6369849256007	63.3717997055576	68.3933859522057
PHB2	62.0346906638816	67.073171823631	62.2118674961402	75.9987031831804	65.6759116429025	70.6916227908455	63.0351346244664	61.7217484924167	66.055356339683
PDE3A	41.4330078227328	28.9993890720391	66.574868958819	29.6270813325563	35.5832764180264	33.151200976801	24.4593944666445	50.4475609085359	38.7844724945194
LRMP	58.2570072684669	68.7921394304225	51.1393762156961	46.971627041341	66.9493988114827	42.9090520104895	53.4560530484222	55.5116935410178	55.4982934209174
PTHLH	60.4489169523279	59.1014240779786	58.2151983881157	51.0043931954935	62.047378718839	52.512544214269	51.8553743936013	50.863221213234	55.7560563942324
FAM60A	54.0058851159616	54.6216450385821	61.1165896749802	61.3948109872886	52.7440788956733	55.2526712589135	56.8906807384426	57.4816136723191	56.6884969227701
FGD4	57.8407997078679	55.4701969681833	61.5115012278967	64.3604734435598	54.695375606212	59.5418524658843	62.731122487277	59.978850396405	59.5162715379108
NELL2	44.9089401488987	51.1506175805147	46.2363123995052	54.6174482698254	43.2750083521241	45.8874030578945	51.0970647685647	51.3669239655583	48.5674648178607
ZNF641	71.313908756044	75.0346848495504	72.4004085602398	74.6101046801199	76.9036719208791	73.155326169031	73.7304230593407	66.8664412147852	73.0018711512488
C1QL4	73.5751056285178	77.6339755171657	74.5722931946103	80.2608355351965	81.3744736263736	76.297685653371	75.3190341024829	68.8431821544309	75.9845731765186
KRT80	71.7913813128839	68.9271286601579	69.0428305089108	72.8702598880242	77.0908013767549	69.5738733588422	74.2381497295344	68.6838843281277	71.5272886454045
KRT7	71.7804934844522	67.290338363169	67.9839597703625	71.2174982400643	76.9155048653083	67.9419810903091	74.1576050988848	68.8493573131669	70.7670922782147
KRT81	71.7690895182739	67.2837676245832	68.0285896155793	71.2805096436032	76.9302681785747	67.9726101469959	74.2422617797786	68.8670708719852	70.7967709224218
HOXC10	69.1856910157563	73.9768308337261	69.337946453772	72.3645789722693	72.6744480445063	75.751427041807	72.3721194403791	66.958677480533	71.5777149103436
GTSF1	59.715605985681	67.5527753621379	57.9918148809524	66.1707342074592	62.953805011655	68.8306232933733	65.6736431984682	63.9832108391608	64.109026597361
MYL6B	72.8967293611794	77.4275407146907	72.567586038286	80.7546842724843	80.3569626022626	78.1669314941815	74.1806904203904	68.1098032859033	75.5576160236723
STAC3	71.99318738104	72.1673912245649	69.1661178190231	74.5752455281561	78.9351240058188	72.6677756629335	70.7909797868798	66.2949706013285	72.0738490012181
